dates,PCE,PCEcore,CPI,GDPD,PCEtrim,CPItrim,CPImedian,CPIsticky,CPIcoresticky,SPFcpi10Y,SPFcpi1Y,SPFpce1Y,SPFgdpd1Y
732344,3.33240202953498,1.98409349912652,5.0000072338154,NaN,2.35211950413459,2.83704379621144,3.25059337310153,2.64946897710553,2.2605019473618,2.45,2.2250489375501,2.2250489375501,1.95822580193434
732372,3.58807268948063,2.96318362644534,4.35798144343522,3.17264746593189,2.3618865598634,2.38323185600307,1.87940737300294,2.08971939035913,2.2212980843029,NaN,NaN,NaN,NaN
732403,3.35497112405143,1.39030888584308,3.72285717417817,NaN,2.26417304808246,3.33615823290475,2.07480529204652,2.53456543868372,2.21500884793851,NaN,NaN,NaN,NaN
732433,0.680985130412637,2.44956367167326,-0.619674684568139,NaN,2.22506089348197,2.18201497407515,3.11930229869427,2.81441702530022,2.33058485506215,2.5,2.34722667053594,2.34722667053594,2.2067273263259
732464,0.736140954720454,0.828996799655712,0.619674684568139,2.89971592870089,2.15657779145606,0.975203658081361,1.61171716850844,1.1675118641163,2.1755182563958,NaN,NaN,NaN,NaN
732494,5.0850762820307,1.76480601976863,7.41124332067713,NaN,2.22506089348197,3.06568056831619,2.98368759393013,2.77756698575292,2.27500382334727,NaN,NaN,NaN,NaN
732525,4.82953563977127,0.976315367541147,7.36575202654279,NaN,2.25439644348944,1.91247525158449,2.19782608755002,1.6606464087258,2.23914880084522,2.5,2.40801484038069,2.40801484038069,2.22034496929133
732556,11.5258336635328,2.65373006716985,16.4094732242081,3.62150671052532,2.37165266173161,4.07068784728003,3.9458254559353,2.98198782429974,2.30725321880352,NaN,NaN,NaN,NaN
732586,1.90798554693217,3.43031014076089,1.80950021721245,NaN,2.42046886968174,2.45987705871814,3.27728080587521,2.42124368090537,2.29867916755271,NaN,NaN,NaN,NaN
732617,-2.49461917976994,3.07084660714132,-6.0423088387747,NaN,2.43022925229648,3.10039126065316,2.79741682277395,3.25271162546749,2.40257151417426,2.5,2.36481184732302,2.36481184732302,2.16403362269553
